rank_source,dataset,scoring_mode,n,top1,top3,top5,top10,top30,top50,mean_rank,median_rank,rank_le_50
mimic_similarcase_top50,ALL,canonical_primary,1873,0.21783235451147892,0.34917245061398827,0.404164442071543,0.4612920448478377,0.5830218900160171,0.6689802455953017,308061940.96369463,15.0,0.6689802455953017
mimic_similarcase_top50,mimic_test_recleaned_mondo_hpo_rows,canonical_any_label,1873,0.23384943940202882,0.37533368926855315,0.4335290977042178,0.49279231179925254,0.6139882541377469,0.7031500266951415,275493868.45808864,11.0,0.7031500266951415
mimic_similarcase_top50,ALL,canonical_any_label,1873,0.23384943940202882,0.37533368926855315,0.4335290977042178,0.49279231179925254,0.6139882541377469,0.7031500266951415,275493868.45808864,11.0,0.7031500266951415
final_mixed,DDD,strict_primary,761,0.3639947437582129,0.4783180026281209,0.5177398160315374,0.5978975032851511,0.6964520367936925,0.7293035479632063,18.195795006570304,4.0,0.7293035479632063
final_mixed,HMS,strict_primary,25,0.36,0.44,0.56,0.64,0.72,0.76,86.12,4.0,0.76
final_mixed,LIRICAL,strict_primary,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,136.28813559322035,1.0,0.847457627118644
final_mixed,MME,strict_primary,10,0.8,0.9,0.9,0.9,0.9,0.9,11.7,1.0,0.9
final_mixed,MyGene2,strict_primary,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,17.393939393939394,1.0,0.9393939393939394
final_mixed,RAMEDIS,strict_primary,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,3.76036866359447,1.0,0.9769585253456221
final_mixed,mimic_test_recleaned_mondo_hpo_rows,strict_primary,1873,0.21783235451147892,0.34917245061398827,0.404164442071543,0.4612920448478377,0.5830218900160171,0.6689802455953017,3088.5467164975976,15.0,0.6689802455953017
final_mixed,ALL,strict_primary,2978,0.31296171927468097,0.4338482202820685,0.4832102081934184,0.5443250503693754,0.6497649429147079,0.7149093351242445,1951.1067830758898,6.0,0.7149093351242445
final_mixed,DDD,any_label,761,0.36530880420499345,0.480946123521682,0.5216819973718791,0.5992115637319316,0.6977660972404731,0.7306176084099869,269382395.96977663,4.0,0.7306176084099869
final_mixed,HMS,any_label,25,0.36,0.44,0.56,0.64,0.72,0.76,240000004.0,4.0,0.76
final_mixed,LIRICAL,any_label,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,152542378.77966103,1.0,0.847457627118644
final_mixed,MME,any_label,10,0.8,0.9,0.9,0.9,0.9,0.9,100000001.1,1.0,0.9
final_mixed,MyGene2,any_label,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,60606061.72727273,1.0,0.9393939393939394
final_mixed,RAMEDIS,any_label,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,23041477.00921659,1.0,0.9769585253456221
final_mixed,mimic_test_recleaned_mondo_hpo_rows,any_label,1873,0.23384943940202882,0.37533368926855315,0.4335290977042178,0.49279231179925254,0.6139882541377469,0.7031500266951415,275493868.45808864,11.0,0.7031500266951415
final_mixed,ALL,any_label,2978,0.3233713901947616,0.45097380792478176,0.5026863666890531,0.5644728005372733,0.6695768972464742,0.7367360644728005,249832108.78509066,5.0,0.7367360644728005
final_mixed,DDD,canonical_primary,761,0.3639947437582129,0.47963206307490147,0.519053876478318,0.5992115637319316,0.6977660972404731,0.7306176084099869,269382395.97897506,4.0,0.7306176084099869
final_mixed,HMS,canonical_primary,25,0.36,0.44,0.56,0.64,0.72,0.76,240000004.0,4.0,0.76
final_mixed,LIRICAL,canonical_primary,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,152542378.77966103,1.0,0.847457627118644
final_mixed,MME,canonical_primary,10,0.8,0.9,0.9,0.9,0.9,0.9,100000001.1,1.0,0.9
final_mixed,MyGene2,canonical_primary,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,60606061.72727273,1.0,0.9393939393939394
final_mixed,RAMEDIS,canonical_primary,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,23041477.00921659,1.0,0.9769585253456221
final_mixed,mimic_test_recleaned_mondo_hpo_rows,canonical_primary,1873,0.21783235451147892,0.34917245061398827,0.404164442071543,0.4612920448478377,0.5830218900160171,0.6689802455953017,308061940.96369463,15.0,0.6689802455953017
final_mixed,ALL,canonical_primary,2978,0.31296171927468097,0.4341840161182001,0.48354600402955006,0.544660846205507,0.6501007387508395,0.7152451309603761,270315654.725319,6.0,0.7152451309603761
final_mixed,DDD,canonical_any_label,761,0.36530880420499345,0.48226018396846254,0.5229960578186597,0.6005256241787122,0.6990801576872536,0.7319316688567674,268068335.521682,4.0,0.7319316688567674
final_mixed,HMS,canonical_any_label,25,0.36,0.44,0.56,0.64,0.72,0.76,240000004.0,4.0,0.76
