dataset,bucket_type,bucket,num_cases,top1,top3,top5,top10,top50,median_rank,mean_rank,rank_le_50_count,rank_le_50_ratio,rank_gt_50_count,rank_gt_50_ratio,top50_rank_gt5_count,top50_rank_gt5_ratio,gold_not_in_candidate_pool_count,gold_not_in_candidate_pool_ratio
RAMEDIS,hpo_count,4-6,67,0.835820895522388,0.9402985074626866,0.9850746268656716,1.0,1.0,1.0,1.3880597014925373,67,1.0,0,0.0,1,0.014925373134328358,0,0.0
RAMEDIS,hpo_count,7-10,63,0.746031746031746,0.8412698412698413,0.8888888888888888,0.9365079365079365,0.9841269841269841,1.0,4.063492063492063,62,0.9841269841269841,1,0.015873015873015872,6,0.09523809523809523,1,0.015873015873015872
RAMEDIS,hpo_count,>10,70,0.7428571428571429,0.8142857142857143,0.9142857142857143,0.9285714285714286,0.9857142857142858,1.0,8.871428571428572,69,0.9857142857142858,1,0.014285714285714285,5,0.07142857142857142,1,0.014285714285714285
mimic_test,all,ALL,1873,0.19167111585691404,0.2995194874532835,0.3539775760811532,0.4175120128136679,0.615056059797117,20.0,401.1286705819541,1152,0.615056059797117,721,0.3849439402028831,489,0.2610784837159637,721,0.3849439402028831
mimic_test,seen_disease,seen,1747,0.20492272467086434,0.32054951345163135,0.3772180881511162,0.4441900400686892,0.6502575844304522,16.0,263.2404121350887,1136,0.6502575844304522,611,0.34974241556954777,477,0.273039496279336,611,0.34974241556954777
mimic_test,seen_disease,unseen,126,0.007936507936507936,0.007936507936507936,0.031746031746031744,0.047619047619047616,0.12698412698412698,457.5,2312.9603174603176,16,0.12698412698412698,110,0.873015873015873,12,0.09523809523809523,110,0.873015873015873
mimic_test,hpo_count,1-3,104,0.07692307692307693,0.125,0.18269230769230768,0.2403846153846154,0.41346153846153844,95.5,999.5865384615385,43,0.41346153846153844,61,0.5865384615384616,24,0.23076923076923078,61,0.5865384615384616
mimic_test,hpo_count,4-6,372,0.18010752688172044,0.26881720430107525,0.3172043010752688,0.3870967741935484,0.6102150537634409,24.0,368.23118279569894,227,0.6102150537634409,145,0.3897849462365591,109,0.29301075268817206,145,0.3897849462365591
mimic_test,hpo_count,7-10,615,0.191869918699187,0.3121951219512195,0.37886178861788616,0.432520325203252,0.624390243902439,18.0,319.6747967479675,384,0.624390243902439,231,0.375609756097561,151,0.24552845528455283,231,0.375609756097561
mimic_test,hpo_count,>10,782,0.21227621483375958,0.3273657289002558,0.37468030690537085,0.4437340153452685,0.6368286445012787,17.0,401.2468030690537,498,0.6368286445012787,284,0.3631713554987212,205,0.26214833759590794,284,0.3631713554987212
ALL,all,ALL,2978,0.2793821356615178,0.39321692411014103,0.4476158495634654,0.5110812625923439,0.6846877098723976,9.0,328.7149093351242,2039,0.6846877098723976,939,0.3153122901276024,706,0.23707186030893218,939,0.3153122901276024
