mondo_id,provided_name,mondo_preferred_name,match_type,has_synonym_match,possible_name_conflict,action_recommendation,notes
MONDO:0971151,NOT_FOUND,immunodeficiency 122,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0971152,NOT_FOUND,"hearing loss, autosomal recessive 125",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0010283,NOT_FOUND,syndromic X-linked intellectual disability Lubs type,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0971170,NOT_FOUND,"prostate cancer, hereditary, X-linked 3",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0971171,NOT_FOUND,"muscular dystrophy, limb-girdle, autosomal recessive 29",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0971172,NOT_FOUND,"neurodevelopmental disorder with hypotonia, brain anomalies, distinctive facies, and absent language",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0971173,NOT_FOUND,autoinflammation with arthritis and vasculitis,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0971174,NOT_FOUND,multiple mitochondrial dysfunctions syndrome 9b,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0971175,NOT_FOUND,"cardiomyopathy, dilated, 2K",unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
MONDO:0971176,NOT_FOUND,ovarian dysgenesis 11,unknown,False,False,provide_mondo_name_mapping,mondo_name_mapping.csv/xlsx was not provided; provided_name remains NOT_FOUND.
