mondo_id,disease_name,has_onset,has_clinical_course,has_gene,has_inheritance,needs_manual_review,notes
MONDO:0008499,short stature-wormian bones-dextrocardia syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017315,short stature-webbed neck-heart disease syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017316,short stature-deafness-neutrophil dysfunction-dysmorphism syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0011046,"short stature, Brussels type",False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0007461,short stature-valvular heart disease-characteristic facies syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008280,Peutz-Jeghers syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009858,Pfeiffer-Palm-Teller syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009036,"cardiocranial syndrome, Pfeiffer type",False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009058,cystathioninuria,False,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0017317,phakomatosis pigmentokeratotica,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0017318,phakomatosis pigmentovascularis,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009859,PHAVER syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0010164,"phocomelia, Schinzel type",False,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0008863,sitosterolemia,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0008244,piebaldism,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008245,piebald trait-neurologic defects syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010711,TARP syndrome,True,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0009870,pili torti,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017321,pili torti-onychodysplasia syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0016239,cystinosis,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009871,pili torti-developmental delay-neurological abnormalities syndrome,True,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0012589,Pitt-Hopkins syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008251,familial pityriasis rubra pilaris,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010237,X-linked intellectual disability-plagiocephaly syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0007894,Leri pleonosteosis,False,True,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017362,neuralgic amyotrophy,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0017363,idiopathic chronic eosinophilic pneumonia,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008259,familial spontaneous pneumothorax,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017364,POEMS syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017365,"hereditary acrokeratotic poikiloderma, Weary type",False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008815,argininosuccinic aciduria,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009067,cystinuria,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008260,Kindler syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010002,Rothmund-Thomson syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008262,Poland syndrome,False,False,False,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0017373,poliomyelitis,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009895,postaxial polydactyly-dental and vertebral anomalies syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008268,polydactyly-myopia syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008267,orofaciodigital syndrome V,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009777,Oliver syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017377,preaxial polydactyly-colobomata-intellectual disability syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0000447,autosomal dominant polycystic liver disease,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0016293,congenital stationary night blindness,False,False,True,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008809,polyneuropathy-hand defect syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017379,polyneuropathy-intellectual disability-acromicria-premature menopause syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017380,juvenile polyposis syndrome,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008283,Cronkhite-Canada syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0006702,chronic inflammatory demyelinating polyradiculoneuropathy,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008286,crossed polysyndactyly,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017410,porencephaly,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017416,postpoliomyelitis syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0011142,"Ehlers-Danlos syndrome, musculocontractural type",False,False,True,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017568,Prata-Liberal-Goncalves syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009072,Dandy-Walker syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010667,Prieto syndrome,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008311,progeria-short stature-pigmented nevi syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017569,de Barsy syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008312,autosomal dominant prognathism,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010911,prolactin-producing pituitary gland adenoma,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0017570,leukocyte adhesion deficiency,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017571,Proteus-like syndrome,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0007032,prune belly syndrome,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
